sentence_id,question,Keziah,Kathryn,Karim,Keziah reason,Kathryn reason,Karim reason,article_id,model,dataset,human_salience
4,How exactly do institutional investors have the balance of power to influence sustainability?,2.0,5,5,The question - in my opnion - is answered well enough by sentence 4,This question is interesting as it would explain the main point introduced by the speaker: why instituional investors are important in sustainability investment.,Could influence narritive,1927,chatgpt,tedq,4.0
4,What specific actions can institutional investors take to promote sustainability?,4.0,5,5,"This is similar to the question above, but I thought this one was worth answering because it asks about specific steps investors can take (the question is less broad and was not really answered)","This question would be helpful to elaborate on the idea introduced in sentence 4. It would be nice to understand more concretely how instituitonal investors could be useful, especially because sustainability is such a vague concept. ","Could influence narritive, main idea",1927,chatgpt,tedq,4.666666666666667
4,Are there any regulations or guidelines in place that require institutional investors to prioritize sustainability?,4.0,3,4,This is a good question to answer to see what regulations are in place right now,"This question is relevant, but not very interesting. It doesn't make much sense to me in the context of the investment market, and there is nothing in the article to suggest that institutional investors are obliged to prioritize sustainability. ","Could be reason behind main idea, influence narritive",1927,chatgpt,tedq,3.6666666666666665
4,What are some examples of successful sustainability initiatives led by institutional investors?,3.0,5,5,Does not increase my personal understanding,"This question would be useful to support the speaker's point in sentence 4, by giving us some proof that instituional investors are important to sustainbility. ","Revolves around main idea, could influence narritive",1927,chatgpt,tedq,4.333333333333333
4,Are there any challenges or barriers that institutional investors face when trying to promote sustainability?,5.0,4,5,This question is important to understanding the article because it explains why there may not have been change up until now and what investors may need to do to promote sustainability,"In prior context the author sets up the idea that not only are institutional investors important for sustaibility, but sustainability is important to investors. So it would be interesting to learn why the author feels they need to push this point, and if there's any reasons why institutional investors are not prioritizing sustainability. ","Could influence narritive, asks quesstion about newly introduced concept",1927,chatgpt,tedq,4.666666666666667
7,How exactly are we consuming natural resources faster than they can be replenished?,3.0,3,3,Does not increase my personal understanding,"This question is relevant to sentence 7, but it is off topic, as the main point of the article is investment into sustainability. ","Sentence kind of implies this already, don't need further information",1927,chatgpt,tedq,3.0
7,What are the main factors contributing to the increasing emissions responsible for climate change?,2.0,3,3,The question is somewhat redundant and in part answered by the anchor (sentence 7),"This question is relevant to sentence 7, but doesn't seem important to understanding the overall article which is focused on solving sustainability problems not investigating their causes. ","Specific details, just need to know they are contributing",1927,chatgpt,tedq,2.6666666666666665
7,How is the growing and aging population impacting sustainability?,2.0,3,3,The anchor (sentence 7) states that the growing and aging population is causing resources to be consumed faster than they can be replenished; the question is answered,"This question is relevant to sentence 7, however, the article is mainly focused on how investment could affect sustainbility, so the question is not very helpful.","Sentence kind of implies this already, don't need further information",1927,chatgpt,tedq,2.6666666666666665
7,What are the specific environmental and social issues that are being overlooked by investors?,4.0,4,5,The question should be answered for a better understanding of the specific issues that need to be addressed in terms of sustainability,This question could be useful in understanding which sustainability issues should be prioritized and targeted by investors.,Revolves around main idea,1927,chatgpt,tedq,4.333333333333333
7,How do institutional investors have the power to influence sustainability?,0.0,0,0,answered by sentence 4 - also the same question as row 2,"This question seems to be a repeat of a question from sentence 4, and isn't really anchored in sentence 7. ",Anchored in sentence 4,1927,chatgpt,tedq,0.0
10,What are some specific examples of the complex environmental and social issues that the author is referring to?,4.0,2,2,This question is useful to explain the specific issues that investors have the power to address,"Sentence 7 already gives a list of social and environemntal issues, and listing more wouldn't help my understanding of the article. ",Already answered in sentence 7,1927,chatgpt,tedq,2.6666666666666665
10,How do these issues specifically impact risk and return in investment decisions?,3.0,4,3,Does not increase my personal understanding,This question would be useful in understanding the potential motivation for institutional investors to target sustainability issues. It would also help explain the author's point of connecting social and environmental issues to economic issues.,"Sort of answered in sentence 9, this would give additional detail I don't need",1927,chatgpt,tedq,3.333333333333333
10,What are some potential long-term consequences of ignoring these sustainability issues?,4.0,5,5,"The question is a bit of an extrapolation, but I find it important to answer to explain the motivations behind choosing to address these sustainability issues now and what may happen if they are ignored","This question would help explain the impact of sustainability issues, and why they are so important to investors. ","Main idea, could influence narritive",1927,chatgpt,tedq,4.666666666666667
10,How can institutional investors effectively influence sustainability practices?,0.0,0,0,Somewhat answered by sentences 4 and 5,"This question seems to be a repeat of a question from sentence 4, and isn't really anchored in sentence 10. ",Still anchored in sentence 4,1927,chatgpt,tedq,0.0
10,What evidence or data supports the claim that sustainable investing is better-performing than commonly believed?,0.0,0,0,The question is not anchored in this group of sentences (anchored in sentence 5),This question doesn't seem to be anchored in sentence 10.,Anchored in sentence 5,1927,chatgpt,tedq,0.0
13,What are the current investment rules that are being questioned for their suitability in the future?,3.0,5,4,Does not increase my personal understanding,This question would be useful in elaborating the point in sentence 13 to understand what exactly is being challenged.,"Asks question about introduced topic, I would like to know a bit more",1927,chatgpt,tedq,4.0
13,What specific aspects of these investment rules are being called into question?,3.0,5,3,Does not increase my personal understanding,This question is helpful in understanding how current investment rules don't fit with the issue of sustainbility as an economic problem.,"Kind of answered in 13, their suitability for the future is being questioned",1927,chatgpt,tedq,3.6666666666666665
13,What factors or changes in the world are causing the need to reassess the suitability of these investment rules?,2.0,2,2,"This is answered by sentence 7, 8, and 9","This question is answered through previous context, where it is explained that growing sustaibility issues could pose long-term economic consequences. ",Sentence seven,1927,chatgpt,tedq,2.0
13,Are there any proposed alternative investment rules or strategies that are being suggested as more suitable for the future?,4.0,5,5,This is an important question and relevant to the article because it explains what investors are doing as a response to sustainability issues,"This question would address the point in sentence 13, that if the current rules need to be discarded then what sort of strategy will replace them. This would also help clarify the author's goal for suatinbility investment. ","About main idea, asks question expanding on introduced idea",1927,chatgpt,tedq,4.666666666666667
13,"How are institutional investors, such as pension funds, foundations, and endowments, responding to this questioning of investment rules and the need for sustainability?",4.0,4,5,gives information about the investors ,"It would be interesting to know how institutional investors view the problem of sustaibility, and how they are choosing to address it. ","Abou main idea, could influence narritive",1927,chatgpt,tedq,4.333333333333333
16,What specific performance metrics should investors consider when evaluating a company's environmental impact?,4.0,4,5,The question should be answered to expand upon what environmental and social issues are being referred to in the anchor sentence,This question would be helpful to understand how environmental performance could be graded.,Expands on introduced topic related to main idea,1927,chatgpt,tedq,4.333333333333333
16,How do social performance metrics differ from environmental and governance metrics?,3.0,4,5,Does not increase my personal understanding,This question would be helpful in understanding what criteria is being used to judge ESG performance.,Expands on introduced topic related to main idea,1927,chatgpt,tedq,4.0
16,Are there standardized benchmarks or guidelines for measuring and comparing ESG performance across companies?,3.0,4,4,does not increase my personal understanding,"This question could be helpful in understanding what kind of standardization is in place for considering ESG performace, which is more abstract than straight financial data. ","Expands on topic, a bit further out in scope, but this would support the main idea",1927,chatgpt,tedq,3.6666666666666665
16,How do institutional investors incorporate ESG factors into their investment decision-making process?,5.0,5,4,This question relates to the overall theme of the article and the relationship between investing and sustainability,This question would be interesting to help understand how institutional investors are already approaching the problem of sustainability.,Expands on introduced topic,1927,chatgpt,tedq,4.666666666666667
16,What evidence or studies support the claim that sustainable investing is better-performing than traditional investing?,0.0,0,0,Not anchored in this group of sentences (anchored in sentence 5),This question doesn't seem to be anchored in sentence 16.,Not anchored,1927,chatgpt,tedq,0.0
4,What specific technological advances have enabled manufacturers to create nano-sized silver particles?,4.0,3,4,"The question asks for specific technological advances that have made this possible, which has not yet been clarified.","This question is relevant,  but I don't need to know how nano-sized silver is created to understand what it is  and how it is being used. ",expands on idea introduced,3,chatgpt,inquisitive,3.6666666666666665
4,How do these nano-sized silver particles differ from traditional silver particles in terms of their antibacterial properties?,3.0,2,3,This question does not increase my personal understanding of the article.,"This question is relevant, however,  there is nothing in the article to suggest that the antibacterial properties of nano-sized silver is different.  The only difference between silver and nano-sized silver is the size, which is rather inuitive from the name. ",details on idea (term)introduced,3,chatgpt,inquisitive,2.6666666666666665
4,Are there any potential health risks associated with incorporating nano-sized silver into everyday products?,4.0,3,5,"This question is relevant to the article because silver is being used to combat germs in hospitals, so it would be valuable to know whether the silver itself carries potential health risks.","This question is relevant, but it doesn't interest me as none of the goods listed in sentence 3 were consumable, so I am less concerned about the health affects. ","could affect narritive, main idea",3,chatgpt,inquisitive,4.0
4,How effective are these silver-infused products in killing germs compared to traditional antibacterial agents?,5.0,5,5,The question is useful to answer because it clarifies concepts introduced in sentences 1 &2,This question is relevant and would help me understand the trend in putting nano-silver in products.  Sentence 3 seems to suggest that companies are doing it for superficial reasons and not from a legitimate basis.  So it would be useful to know if there is any basis for this.,question about main topic,3,chatgpt,inquisitive,5.0
4,Are there any regulations or guidelines in place to ensure the safe and responsible use of nano-sized silver in consumer goods?,4.0,4,5,The question is important to answer because it provides context about the safety of the materials.,"This question is relevant and I find it somewhat interesting, as silver is a precious metal, so it seems odd to randomly incorporate it in everyday goods. It would be interesting to know if there are any environmental guidelines related to the use of nano-silver.",expands on main idea,3,chatgpt,inquisitive,4.333333333333333
7,How exactly do bacteria become resistant to silver and other antibiotic drugs?,5.0,5,4,The question would help to clarify the concept of resistance that was introduced in sentence 7.,"This question would be useful to help explain how using silver in yoga pants could lead to bacteria becoming resistant to silver, since the connection is not as intuitive.","a bit of detail, but about main topic introduced in sentence",3,chatgpt,inquisitive,4.666666666666667
7,What is triclosan and how does it contribute to bacteria becoming resistant?,2.0,2,2,The question is already answered ,"This question is already answered in sentence 7, which gives a brief explanation on triclosan and that bacteria have become resistant to this ingrediant. It is possible to go more in depth on what triclosan, but that wouldn't be necessary to understand the article. ","First Q Answered in anchor(sentence 7), second I would put 3 for details abt topic",3,chatgpt,inquisitive,2.0
7,Are there any studies or research that have been conducted on the long-term effects of chronic exposure to nanosilver on human health?,0.0,0,0,anchored in previous context ,"This question is directly related to sentence 6, not sentence 7. ","Answered in previous sentence 6, no one knows, meaning most likely no studies have been done",3,chatgpt,inquisitive,0.0
7,What are the potential risks associated with widespread use of nanosilver in consumer products?,4.0,2,2,This question could be important to considering the downsides of using nanosilver in consumer products.,"Sentence 6 and 7 already list several potential risks of the trend from environmental effects, health affects, and the risk of bacteria becoming resistant to silver. ","Could expand , but answer 6/7 partly answer this",3,chatgpt,inquisitive,2.6666666666666665
7,"Have there been any documented cases of bacteria developing resistance to silver in real-world settings, such as hospitals or other healthcare facilities?",2.0,3,3,"The question is somewhat answered by sentence 7. Hospitals and healthcare facilities are not addressed, but the real-world scenario of bacteria resistance is discussed in sentence 7.","This question could help give more context to sentence 7, however, it is  described as a situation that could happen, which implies that it hasn't occured yet. While more detail would confirm this, it isn't necessary. ",Goes intro extra detail about idea introduced,3,chatgpt,inquisitive,2.6666666666666665
10,What specific risks do manufacturers of nanosilver products need to register with the U.S. Environmental Protection Agency?,0.0,0,0,Misinterpreted question,"This question seems to misunderstand sentence 10, which states that manufactures have to register their products, not the risks. ","They need to register product, not risks",3,chatgpt,inquisitive,0.0
