sentence_id,question,annotator1,annotator2,annotator3,annotator1 reason,annotator2 reason,annotator3 reason,human_answerability,article_id,model,dataset
4,How exactly do institutional investors have the balance of power to influence sustainability?,3,3,3,"25, 86",86,86,3,1927,chatgpt,tedq
4,What specific actions can institutional investors take to promote sustainability?,3,3,3,"16, 17, 25, 95",95,"33, 38, 70",3,1927,chatgpt,tedq
4,Are there any regulations or guidelines in place that require institutional investors to prioritize sustainability?,1,1,2,,,76,1,1927,chatgpt,tedq
4,What are some examples of successful sustainability initiatives led by institutional investors?,3,3,3,"31, 32, 37, 38, 68, 69, 70","65, 69","65, 69",3,1927,chatgpt,tedq
4,Are there any challenges or barriers that institutional investors face when trying to promote sustainability?,2,2,2,"10, 76",76,76,2,1927,chatgpt,tedq
7,How exactly are we consuming natural resources faster than they can be replenished?,1,1,1,,,,1,1927,chatgpt,tedq
7,What are the main factors contributing to the increasing emissions responsible for climate change?,1,1,1,,,,1,1927,chatgpt,tedq
7,How is the growing and aging population impacting sustainability?,1,1,1,,,,1,1927,chatgpt,tedq
7,What are the specific environmental and social issues that are being overlooked by investors?,3,3,2,"17, 18","17, 18","17, 18",3,1927,chatgpt,tedq
7,How do institutional investors have the power to influence sustainability?,2,3,3,86,86,86,3,1927,chatgpt,tedq
10,What are some specific examples of the complex environmental and social issues that the author is referring to?,3,2,3,"17, 18, 22","17, 18",7,3,1927,chatgpt,tedq
10,How do these issues specifically impact risk and return in investment decisions?,2,3,2,22,22,7,2,1927,chatgpt,tedq
10,What are some potential long-term consequences of ignoring these sustainability issues?,3,3,3,"3, 7",97,"94, 97, 7",3,1927,chatgpt,tedq
10,How can institutional investors effectively influence sustainability practices?,3,3,3,"16, 21, 22",95,95,3,1927,chatgpt,tedq
10,What evidence or data supports the claim that sustainable investing is better-performing than commonly believed?,3,3,3,"56, 57",56-57,"56,57, 65, 69",3,1927,chatgpt,tedq
13,What are the current investment rules that are being questioned for their suitability in the future?,2,2,2,"14, 15","14, 16, 76","14, 15",2,1927,chatgpt,tedq
13,What specific aspects of these investment rules are being called into question?,2,2,2,16,"14, 16","15, 16",2,1927,chatgpt,tedq
13,What factors or changes in the world are causing the need to reassess the suitability of these investment rules?,0,0,0,7,7,7,0,1927,chatgpt,tedq
13,Are there any proposed alternative investment rules or strategies that are being suggested as more suitable for the future?,3,3,3,"21, 22",22,"16, 21",3,1927,chatgpt,tedq
13,"How are institutional investors, such as pension funds, foundations, and endowments, responding to this questioning of investment rules and the need for sustainability?",3,3,3,"33, 66, 70","63, 76 ","25, 26, 27",3,1927,chatgpt,tedq
16,What specific performance metrics should investors consider when evaluating a company's environmental impact?,3,3,3,"17, 18",17,"16, 17",3,1927,chatgpt,tedq
16,How do social performance metrics differ from environmental and governance metrics?,2,3,3,18,18,18,3,1927,chatgpt,tedq
16,Are there standardized benchmarks or guidelines for measuring and comparing ESG performance across companies?,1,1,1,,,,1,1927,chatgpt,tedq
16,How do institutional investors incorporate ESG factors into their investment decision-making process?,3,3,3,"66, 70","66, 70","32, 38",3,1927,chatgpt,tedq
16,What evidence or studies support the claim that sustainable investing is better-performing than traditional investing?,3,3,3,"56, 57",56-57,"56, 57, 69",3,1927,chatgpt,tedq
4,What specific technological advances have enabled manufacturers to create nano-sized silver particles?,1,1,1,,,,1,3,chatgpt,inquisitive
4,How do these nano-sized silver particles differ from traditional silver particles in terms of their antibacterial properties?,3,3,3,17,17,"17, 18",3,3,chatgpt,inquisitive
4,Are there any potential health risks associated with incorporating nano-sized silver into everyday products?,3,3,3,"6, 28","7, 28","6, 7,28,30, 31",3,3,chatgpt,inquisitive
4,How effective are these silver-infused products in killing germs compared to traditional antibacterial agents?,2,2,1,29,29,,2,3,chatgpt,inquisitive
4,Are there any regulations or guidelines in place to ensure the safe and responsible use of nano-sized silver in consumer goods?,2,3,2,10,10,"10, 11",2,3,chatgpt,inquisitive
7,How exactly do bacteria become resistant to silver and other antibiotic drugs?,2,2,2,34,34,34,2,3,chatgpt,inquisitive
7,What is triclosan and how does it contribute to bacteria becoming resistant?,0,0,0,7,7,7,0,3,chatgpt,inquisitive
7,Are there any studies or research that have been conducted on the long-term effects of chronic exposure to nanosilver on human health?,3,3,3,"6, 50",50,"6, 50",3,3,chatgpt,inquisitive
7,What are the potential risks associated with widespread use of nanosilver in consumer products?,3,3,3,"25, 26, 28, 31, 32, 37, 38",25,"6,7,31",3,3,chatgpt,inquisitive
7,"Have there been any documented cases of bacteria developing resistance to silver in real-world settings, such as hospitals or other healthcare facilities?",2,2,1,34,34,,2,3,chatgpt,inquisitive
10,What specific risks do manufacturers of nanosilver products need to register with the U.S. Environmental Protection Agency?,1,1,1,,,,1,3,chatgpt,inquisitive
10,How does the risk of nanosilver particles differ from conventional silver?,3,3,3,"25, 27",25,"26, 27",3,3,chatgpt,inquisitive
10,What evidence or research has led the U.S. Environmental Protection Agency to require registration of nanosilver products?,3,3,2,"31, 34",31,"42, 25, 26",3,3,chatgpt,inquisitive
10,How are manufacturers expected to prove the worth and safety of nanosilver products before putting them in the environment?,2,2,2,44,44,"6, 10, 11",2,3,chatgpt,inquisitive
